timestamp,token_id,best_bid,best_ask,spread,spread_pct,bid_depth,ask_depth,sanity_ok
2026-03-06T07:36:17.524898+00:00,DOWN:18757419,0.59,0.61,0.020000000000000018,3.2786885245901667,45,37,True,71295.9
2026-03-06T07:52:59.752310+00:00,UP:45123001,0.44,0.45,0.010000000000000009,2.222222222222224,42,41,True,71295.9
2026-03-06T07:52:59.853612+00:00,DOWN:18757419,0.55,0.56,0.010000000000000009,1.785714285714287,41,42,True,71295.9
2026-03-06T08:10:10.646716+00:00,UP:45123001,0.38,0.4,0.020000000000000018,5.000000000000004,37,46,True,71295.9
2026-03-06T08:10:10.763306+00:00,DOWN:18757419,0.6,0.62,0.020000000000000018,3.2258064516129057,46,37,True,71295.9
2026-03-06T08:28:13.635302+00:00,UP:45123001,0.37,0.38,0.010000000000000009,2.6315789473684235,36,48,True,71295.9
2026-03-06T08:28:13.746634+00:00,DOWN:18757419,0.62,0.63,0.010000000000000009,1.5873015873015885,48,36,True,71295.9
2026-03-06T08:48:48.661884+00:00,UP:45123001,0.38,0.39,0.010000000000000009,2.5641025641025665,37,47,True,71295.9
2026-03-06T08:48:48.774298+00:00,DOWN:18757419,0.61,0.62,0.010000000000000009,1.6129032258064528,47,37,True,71295.9
2026-03-06T09:06:42.623596+00:00,UP:45123001,0.33,0.34,0.010000000000000009,2.9411764705882377,32,52,True,71295.9
2026-03-06T09:06:42.733450+00:00,DOWN:18757419,0.66,0.67,0.010000000000000009,1.492537313432837,52,32,True,71295.9
2026-03-06T09:24:34.065373+00:00,UP:45123001,0.26,0.27,0.010000000000000009,3.703703703703707,24,59,True,71295.9
2026-03-06T09:24:34.165170+00:00,DOWN:18757419,0.73,0.74,0.010000000000000009,1.3513513513513526,59,24,True,71295.9
2026-03-06T09:42:42.929802+00:00,UP:45123001,0.24,0.25,0.010000000000000009,4.0000000000000036,22,59,True,71295.9
2026-03-06T09:42:43.048238+00:00,DOWN:18757419,0.75,0.76,0.010000000000000009,1.3157894736842117,59,22,True,71295.9
2026-03-06T09:59:59.157979+00:00,UP:45123001,0.27,0.28,0.010000000000000009,3.571428571428574,25,48,True,71295.9
2026-03-06T09:59:59.260231+00:00,DOWN:18757419,0.72,0.73,0.010000000000000009,1.3698630136986314,48,25,True,71295.9
2026-03-06T10:17:32.164088+00:00,UP:45123001,0.3,0.31,0.010000000000000009,3.2258064516129057,26,47,True,71295.9
2026-03-06T10:17:32.270989+00:00,DOWN:18757419,0.69,0.7,0.010000000000000009,1.42857142857143,47,26,True,71295.9
2026-03-06T10:34:57.763357+00:00,UP:45123001,0.28,0.29,0.009999999999999953,3.4482758620689493,26,49,True,71295.9
2026-03-06T10:34:57.919116+00:00,DOWN:18757419,0.71,0.72,0.010000000000000009,1.3888888888888902,49,26,True,71295.9
